Setting up the buggy LLVM environment ...
Building LLVM and try reproducing the issue ...
Issue reproduced successfully.
Starting to fix the issue ...
Remaining tools: [edit[25], test[25]]
╭─ user [MainThread@3284525] ─────────────────────────────────────────────────╮
│ You are an expert LLVM developer. Please solve this LLVM issue:             │
│                                                                             │
│ ------ BEGIN ISSUE ------                                                   │
│ Type: crash                                                                 │
│                                                                             │
│ Reproducer (LLVM IR): ```bash                                               │
│ cat /tmp/test.ll                                                            │
│                                                                             │
│ define i32 @test(ptr addrspace(1) %arg) {                                   │
│ ;                                                                           │
│ bb:                                                                         │
│   br label %bb1                                                             │
│                                                                             │
│ bb1:                                              ; preds = %bb             │
│   %getelementptr = getelementptr i8, ptr addrspace(1) %arg, i64 20          │
│   %getelementptr2 = getelementptr i8, ptr addrspace(1) %arg, i64 21         │
│   %getelementptr3 = getelementptr i8, ptr addrspace(1) %arg, i64 22         │
│   br i1 false, label %bb73, label %bb150                                    │
│ bb4:                                              ; No predecessors!        │
│   br i1 false, label %bb68, label %bb70                                     │
│ bb5:                                              ; No predecessors!        │
│   br i1 false, label %bb64, label %bb66                                     │
│ bb6:                                              ; No predecessors!        │
│   br i1 false, label %bb60, label %bb62                                     │
│ bb7:                                              ; No predecessors!        │
│   br i1 false, label %bb8, label %bb58                                      │
│ bb8:                                              ; preds = %bb7            │
│   br i1 false, label %bb54, label %bb56                                     │
│ bb9:                                              ; No predecessors!        │
│   br i1 false, label %bb50, label %bb52                                     │
│ bb10:                                             ; No predecessors!        │
│   br i1 false, label %bb46, label %bb48                                     │
│ bb11:                                             ; No predecessors!        │
│   br i1 false, label %bb42, label %bb44                                     │
│ bb12:                                             ; No predecessors!        │
│   br i1 false, label %bb38, label %bb40                                     │
│ bb13:                                             ; No predecessors!        │
│   br i1 false, label %bb36, label %bb122                                    │
│ bb14:                                             ; No predecessors!        │
│   br i1 false, label %bb32, label %bb34                                     │
│ bb15:                                             ; No predecessors!        │
│   br i1 false, label %bb28, label %bb30                                     │
│ bb16:                                             ; No predecessors!        │
│   br i1 false, label %bb17, label %bb26                                     │
│ bb17:                                             ; preds = %bb16           │
│   br i1 false, label %bb22, label %bb24                                     │
│ bb18:                                             ; No predecessors!        │
│   br i1 false, label %bb19, label %bb20                                     │
│ bb19:                                             ; preds = %bb18           │
│   %load = load i8, ptr addrspace(1) %getelementptr3, align 1                │
│   ret i32 0                                                                 │
│ bb20:                                             ; preds = %bb18           │
│   %load21 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb22:                                             ; preds = %bb17           │
│   %load23 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb24:                                             ; preds = %bb17           │
│   %load25 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb26:                                             ; preds = %bb16           │
│   %load27 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb28:                                             ; preds = %bb15           │
│   %load29 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb30:                                             ; preds = %bb15           │
│   %load31 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb32:                                             ; preds = %bb14           │
│   %load33 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb34:                                             ; preds = %bb14           │
│   %load35 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb36:                                             ; preds = %bb13           │
│   %load37 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb38:                                             ; preds = %bb12           │
│   %load39 = load i8, ptr addrspace(1) %getelementptr3, align 1              │
│   ret i32 0                                                                 │
│ bb40:                                             ; preds = %bb12           │
