Setting up the buggy LLVM environment ...
Building LLVM and try reproducing the issue ...
Issue reproduced successfully.
Starting to fix the issue ...
Remaining tools: [edit[25], test[25]]
╭─ user [MainThread@1519375] ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────╮
│ You are an expert LLVM developer. Please solve this LLVM issue:                                                                                                  │
│                                                                                                                                                                  │
│ ------ BEGIN ISSUE ------                                                                                                                                        │
│ Type: crash                                                                                                                                                      │
│                                                                                                                                                                  │
│ Reproducer (LLVM IR): ```bash                                                                                                                                    │
│ cat /tmp/test.ll                                                                                                                                                 │
│ define void @func(i32 %0) {                                                                                                                                      │
│   %2 = shl i32 %0, 0                                                                                                                                             │
│   %3 = sext i32 %2 to i64                                                                                                                                        │
│   %4 = shl i32 0, 0                                                                                                                                              │
│   %5 = sext i32 %4 to i64                                                                                                                                        │
│   %6 = or i32 0, 0                                                                                                                                               │
│   %7 = or i32 0, 0                                                                                                                                               │
│   %8 = zext i32 %6 to i64                                                                                                                                        │
│   %9 = zext i32 %7 to i64                                                                                                                                        │
│   %10 = zext i32 0 to i64                                                                                                                                        │
│   %11 = zext i32 0 to i64                                                                                                                                        │
│   %12 = zext i32 0 to i64                                                                                                                                        │
│   %13 = zext i32 0 to i64                                                                                                                                        │
│   %14 = zext i32 0 to i64                                                                                                                                        │
│   %15 = zext i32 0 to i64                                                                                                                                        │
│   %16 = zext i32 0 to i64                                                                                                                                        │
│   %17 = zext i32 0 to i64                                                                                                                                        │
│   %18 = zext i32 0 to i64                                                                                                                                        │
│   %19 = zext i32 0 to i64                                                                                                                                        │
│   %20 = zext i32 0 to i64                                                                                                                                        │
│   %21 = zext i32 0 to i64                                                                                                                                        │
│   %22 = zext i32 0 to i64                                                                                                                                        │
│   %23 = zext i32 0 to i64                                                                                                                                        │
│   %24 = zext i32 0 to i64                                                                                                                                        │
│   %25 = zext i32 0 to i64                                                                                                                                        │
│   %26 = zext i32 0 to i64                                                                                                                                        │
│   %27 = or i64 %3, 0                                                                                                                                             │
│   %28 = or i64 %3, %8                                                                                                                                            │
│   %29 = or i64 %3, %9                                                                                                                                            │
│   %30 = or i64 %3, %10                                                                                                                                           │
│   %31 = or i64 %3, %11                                                                                                                                           │
│   %32 = or i64 %3, %12                                                                                                                                           │
│   %33 = or i64 %3, %13                                                                                                                                           │
│   %34 = or i64 %3, %14                                                                                                                                           │
│   %35 = or i64 %3, %15                                                                                                                                           │
│   %36 = or i64 %3, %16                                                                                                                                           │
│   %37 = or i64 %3, %17                                                                                                                                           │
│   %38 = or i64 %3, %18                                                                                                                                           │
